,ListingID,Property_Type,Region,Locality,Price,FloorSize,SizeType,Bedrooms,Bathrooms,Furnishing,Property_Condition,Developer,Society,Longitude,Latitude,Price_PSQFT,URL
179,1297,Apartment,Chennai South,Uthandi,6500000,1100.0,super area,2.0,2.0,Semi-Furnished,Resale,,,0.0,0.0,5909.0909090000005,https://www.magicbricks.com/propertyDetails/2-BHK-1100-Sq-ft-Multistorey-Apartment-FOR-Sale-Egattur-in-Chennai&id=4d423438383535373533
180,1168,Apartment,Chennai South,Pallikaranai,5363100,909.0,super area,2.0,2.0,Unfurnished,New Property,,,0.0,0.0,5900.0,https://www.magicbricks.com/propertyDetails/2-BHK-909-Sq-ft-Multistorey-Apartment-FOR-Sale-Pallikaranai-in-Chennai&id=4d423436313336343833
181,1359,Apartment,Chennai South,Nanmangalam,4500000,764.0,super area,2.0,2.0,Semi-Furnished,Resale,,,0.0,0.0,5890.052356,https://www.magicbricks.com/propertyDetails/2-BHK-764-Sq-ft-Multistorey-Apartment-FOR-Sale-Nanmangalam-in-Chennai&id=4d423437363735323239
182,1872,Builder Floor Apartment,Chennai South,Nanganallur,4000000,680.0,super area,2.0,2.0,Semi-Furnished,Resale,,,0.0,0.0,5882.352940999999,https://www.magicbricks.com/propertyDetails/2-BHK-680-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Nanganallur-in-Chennai&id=4d423437323730373033
183,328,Apartment,Chennai South,Karapakkam,6400000,1106.0,super area,2.0,2.0,Unfurnished,Resale,,,0.0,0.0,5786.618445,https://www.magicbricks.com/propertyDetails/2-BHK-1106-Sq-ft-Multistorey-Apartment-FOR-Sale-Karapakkam-in-Chennai&id=4d423436333333333331
184,1552,Builder Floor Apartment,Chennai South,Keelkattalai,3000000,520.0,super area,1.0,1.0,Furnished,Resale,,,12.95883751,80.18464661,5769.230769,https://www.magicbricks.com/propertyDetails/1-BHK-520-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Keelkattalai-in-Chennai&id=4d423438303739373439
185,1609,Apartment,Chennai South,Pallikaranai,9000000,1560.0,super area,3.0,3.0,Semi-Furnished,Resale,,,0.0,0.0,5769.230769,https://www.magicbricks.com/propertyDetails/3-BHK-1560-Sq-ft-Multistorey-Apartment-FOR-Sale-Pallikaranai-in-Chennai&id=4d423435353233383733
186,719,Builder Floor Apartment,Chennai South,Nanganallur,5550000,730.0,carpet area,2.0,2.0,Furnished,Resale,,,0.0,0.0,5759.6513079999995,https://www.magicbricks.com/propertyDetails/2-BHK-730-Sq-ft-Builder-Floor-Apartment-FOR-Sale-MMTC-Colony-in-Chennai&id=4d423438383735383439
187,722,Apartment,Chennai South,Pallikaranai,6500000,857.0,carpet area,2.0,2.0,Furnished,Resale,,,0.0,0.0,5745.9071460000005,https://www.magicbricks.com/propertyDetails/2-BHK-1120-Sq-ft-Multistorey-Apartment-FOR-Sale-Kamakoti-Nagar-in-Chennai&id=4d423437353838383935
188,149,Apartment,Chennai South,Pammal,4200000,555.0,carpet area,2.0,2.0,Semi-Furnished,Resale,,,12.50288296,79.87554932,5733.005733,https://www.magicbricks.com/propertyDetails/2-BHK-755-Sq-ft-Multistorey-Apartment-FOR-Sale-Pammal-in-Chennai&id=4d423437353235353237
189,1510,Apartment,Chennai South,Medavakkam,5500000,960.0,super area,2.0,2.0,Unfurnished,New Property,,,0.0,0.0,5729.166667,https://www.magicbricks.com/propertyDetails/2-BHK-960-Sq-ft-Multistorey-Apartment-FOR-Sale-Santhosapuram-in-Chennai&id=4d423437343039303339
190,2234,Apartment,Chennai South,Pallikaranai,3550000,620.0,super area,1.0,1.0,Unfurnished,New Property,Puravankara Ltd.,Purva Windermere,12.930341,80.196754,5725.806452000001,https://www.magicbricks.com/propertyDetails/1-BHK-620-Sq-ft-Multistorey-Apartment-FOR-Sale-Pallikaranai-in-Chennai&id=4d423431343536303233
191,1022,Apartment,Chennai South,Sholinganallur,10000000,1750.0,super area,3.0,3.0,Semi-Furnished,Resale,Lancor Holdings Ltd.,Lancor TCP Lake Front,12.8952096,80.22216159999999,5714.285714,https://www.magicbricks.com/propertyDetails/3-BHK-1750-Sq-ft-Multistorey-Apartment-FOR-Sale-Sholinganallur-in-Chennai&id=4d423437323734383935
192,1430,Builder Floor Apartment,Chennai South,Medavakkam,6000000,1050.0,super area,2.0,2.0,Semi-Furnished,Resale,,,0.0,0.0,5714.285714,https://www.magicbricks.com/propertyDetails/2-BHK-1050-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Medavakkam-in-Chennai&id=4d423437303337373431
193,57,Apartment,Chennai South,Keelkattalai,5933700,1041.0,super area,3.0,2.0,Unfurnished,New Property,,,12.95883751,80.18464661,5700.0,https://www.magicbricks.com/propertyDetails/3-BHK-1041-Sq-ft-Multistorey-Apartment-FOR-Sale-Keelkattalai-in-Chennai&id=4d423438363935353433
194,1706,Apartment,Chennai South,Medavakkam,4500000,600.0,carpet area,2.0,2.0,Furnished,Resale,,,12.91814709,80.19001007,5681.818182,https://www.magicbricks.com/propertyDetails/2-BHK-790-Sq-ft-Multistorey-Apartment-FOR-Sale-Medavakkam-in-Chennai&id=4d423438373038373933
195,1864,Apartment,Chennai South,Nanganallur,5000000,885.0,super area,2.0,2.0,Furnished,Resale,,,0.0,0.0,5649.717514,https://www.magicbricks.com/propertyDetails/2-BHK-885-Sq-ft-Multistorey-Apartment-FOR-Sale-Nanganallur-in-Chennai&id=4d423437373530343633
